Sample processed row:
                                          clean_text  label
0  i dont think im getting my baby them white 9 h...      0
1  we cannot continue calling ourselves feminists...      0
2                      nawt yall niggers ignoring me      0
3  user i am bit confused coz chinese ppl can not...      1
4  this bitch in whataburger eating a burger with...      1
{'loss': 0.6693, 'grad_norm': 1.8163737058639526, 'learning_rate': 1.995138888888889e-05, 'epoch': 0.05}
{'loss': 0.2083, 'grad_norm': inf, 'learning_rate': 1.648214285714286e-05, 'epoch': 3.52}
{'loss': 0.2148, 'grad_norm': 11.313933372497559, 'learning_rate': 1.643353174603175e-05, 'epoch': 3.57}
{'loss': 0.2146, 'grad_norm': 15.683972358703613, 'learning_rate': 1.6383928571428573e-05, 'epoch': 3.62}
{'loss': 0.2151, 'grad_norm': 10.8400297164917, 'learning_rate': 1.63343253968254e-05, 'epoch': 3.67}
{'loss': 0.2048, 'grad_norm': 33.56008529663086, 'learning_rate': 1.6284722222222225e-05, 'epoch': 3.72}
{'loss': 0.1804, 'grad_norm': 19.321502685546875, 'learning_rate': 1.623511904761905e-05, 'epoch': 3.77}
{'loss': 0.2487, 'grad_norm': 20.202577590942383, 'learning_rate': 1.6185515873015873e-05, 'epoch': 3.82}
{'loss': 0.2682, 'grad_norm': 13.502961158752441, 'learning_rate': 1.6135912698412697e-05, 'epoch': 3.87}
{'loss': 0.1856, 'grad_norm': 16.641475677490234, 'learning_rate': 1.6086309523809525e-05, 'epoch': 3.92}
{'loss': 0.2136, 'grad_norm': 0.4205056428909302, 'learning_rate': 1.603670634920635e-05, 'epoch': 3.97}
{'eval_loss': 0.7828438878059387, 'eval_accuracy': 0.760545905707196, 'eval_runtime': 2.1073, 'eval_samples_per_second': 1912.409, 'eval_steps_per_second': 119.585, 'epoch': 4.0}
{'loss': 0.1704, 'grad_norm': 10.816838264465332, 'learning_rate': 1.5987103174603177e-05, 'epoch': 4.02}
{'loss': 0.1135, 'grad_norm': 3.2851998805999756, 'learning_rate': 1.59375e-05, 'epoch': 4.07}
{'loss': 0.151, 'grad_norm': 1.110839605331421, 'learning_rate': 1.5887896825396825e-05, 'epoch': 4.12}
{'loss': 0.0873, 'grad_norm': 1.9742151498794556, 'learning_rate': 1.5838293650793653e-05, 'epoch': 4.17}
{'loss': 0.1258, 'grad_norm': 25.743846893310547, 'learning_rate': 1.5788690476190477e-05, 'epoch': 4.22}
{'loss': 0.1572, 'grad_norm': 6.689507961273193, 'learning_rate': 1.5739087301587305e-05, 'epoch': 4.27}
{'loss': 0.1306, 'grad_norm': 0.09709211438894272, 'learning_rate': 1.568948412698413e-05, 'epoch': 4.32}
{'loss': 0.2148, 'grad_norm': 7.186932563781738, 'learning_rate': 1.5639880952380953e-05, 'epoch': 4.37}
{'loss': 0.1437, 'grad_norm': 22.098617553710938, 'learning_rate': 1.5590277777777778e-05, 'epoch': 4.41}
{'loss': 0.147, 'grad_norm': 32.715702056884766, 'learning_rate': 1.5540674603174605e-05, 'epoch': 4.46}
{'loss': 0.1757, 'grad_norm': 23.001840591430664, 'learning_rate': 1.549107142857143e-05, 'epoch': 4.51}
{'loss': 0.1212, 'grad_norm': 45.79574203491211, 'learning_rate': 1.5441468253968254e-05, 'epoch': 4.56}
{'loss': 0.1542, 'grad_norm': 1.9650293588638306, 'learning_rate': 1.539186507936508e-05, 'epoch': 4.61}
{'loss': 0.1703, 'grad_norm': 0.954391598701477, 'learning_rate': 1.5342261904761906e-05, 'epoch': 4.66}
{'loss': 0.1764, 'grad_norm': 1.2638639211654663, 'learning_rate': 1.529265873015873e-05, 'epoch': 4.71}
{'loss': 0.1537, 'grad_norm': 38.147178649902344, 'learning_rate': 1.5243055555555558e-05, 'epoch': 4.76}
{'loss': 0.1637, 'grad_norm': 0.5450052618980408, 'learning_rate': 1.5193452380952383e-05, 'epoch': 4.81}
{'loss': 0.1581, 'grad_norm': 28.541332244873047, 'learning_rate': 1.5143849206349208e-05, 'epoch': 4.86}
{'loss': 0.1026, 'grad_norm': 24.655603408813477, 'learning_rate': 1.5094246031746034e-05, 'epoch': 4.91}
{'loss': 0.1634, 'grad_norm': 14.057701110839844, 'learning_rate': 1.5045634920634922e-05, 'epoch': 4.96}
{'eval_loss': 1.1509829759597778, 'eval_accuracy': 0.7555831265508685, 'eval_runtime': 2.1102, 'eval_samples_per_second': 1909.728, 'eval_steps_per_second': 119.417, 'epoch': 5.0}
{'loss': 0.2252, 'grad_norm': 0.43529605865478516, 'learning_rate': 1.4996031746031747e-05, 'epoch': 5.01}
{'loss': 0.115, 'grad_norm': 26.65067481994629, 'learning_rate': 1.4946428571428573e-05, 'epoch': 5.06}
{'loss': 0.1025, 'grad_norm': 3.766160488128662, 'learning_rate': 1.4896825396825398e-05, 'epoch': 5.11}
{'loss': 0.0953, 'grad_norm': 6.537167549133301, 'learning_rate': 1.4847222222222224e-05, 'epoch': 5.16}
{'loss': 0.1032, 'grad_norm': 57.98316955566406, 'learning_rate': 1.479761904761905e-05, 'epoch': 5.21}
{'loss': 0.0893, 'grad_norm': 10.36756420135498, 'learning_rate': 1.4748015873015875e-05, 'epoch': 5.26}
{'loss': 0.1059, 'grad_norm': 0.0858340784907341, 'learning_rate': 1.4698412698412701e-05, 'epoch': 5.31}
{'loss': 0.1002, 'grad_norm': 38.30769348144531, 'learning_rate': 1.4648809523809524e-05, 'epoch': 5.36}
{'loss': 0.0559, 'grad_norm': 26.286542892456055, 'learning_rate': 1.459920634920635e-05, 'epoch': 5.41}
{'loss': 0.1127, 'grad_norm': 0.9551935791969299, 'learning_rate': 1.4549603174603176e-05, 'epoch': 5.46}
{'loss': 0.1092, 'grad_norm': 3.324836492538452, 'learning_rate': 1.45e-05, 'epoch': 5.51}
{'loss': 0.1073, 'grad_norm': 30.078433990478516, 'learning_rate': 1.4450396825396826e-05, 'epoch': 5.56}
{'loss': 0.1072, 'grad_norm': 0.37028801441192627, 'learning_rate': 1.4400793650793652e-05, 'epoch': 5.61}
{'loss': 0.1332, 'grad_norm': 1.7112510204315186, 'learning_rate': 1.4351190476190478e-05, 'epoch': 5.65}
{'loss': 0.0806, 'grad_norm': 55.52506637573242, 'learning_rate': 1.4301587301587304e-05, 'epoch': 5.7}
{'loss': 0.1038, 'grad_norm': 34.65270233154297, 'learning_rate': 1.4251984126984128e-05, 'epoch': 5.75}
{'loss': 0.0958, 'grad_norm': 4.392791271209717, 'learning_rate': 1.4202380952380954e-05, 'epoch': 5.8}
{'loss': 0.1642, 'grad_norm': 11.169096946716309, 'learning_rate': 1.415277777777778e-05, 'epoch': 5.85}
{'loss': 0.1, 'grad_norm': 6.091921806335449, 'learning_rate': 1.4103174603174606e-05, 'epoch': 5.9}
{'loss': 0.1242, 'grad_norm': 0.6316770315170288, 'learning_rate': 1.4053571428571428e-05, 'epoch': 5.95}
{'eval_loss': 1.3763536214828491, 'eval_accuracy': 0.750620347394541, 'eval_runtime': 2.1114, 'eval_samples_per_second': 1908.708, 'eval_steps_per_second': 119.353, 'epoch': 6.0}
{'loss': 0.0837, 'grad_norm': 15.690503120422363, 'learning_rate': 1.4003968253968254e-05, 'epoch': 6.0}
{'loss': 0.0752, 'grad_norm': 10.011004447937012, 'learning_rate': 1.395436507936508e-05, 'epoch': 6.05}
{'loss': 0.0821, 'grad_norm': 56.22309112548828, 'learning_rate': 1.3904761904761905e-05, 'epoch': 6.1}
{'loss': 0.0414, 'grad_norm': 0.045253753662109375, 'learning_rate': 1.385515873015873e-05, 'epoch': 6.15}
{'loss': 0.0515, 'grad_norm': 0.19856701791286469, 'learning_rate': 1.3805555555555556e-05, 'epoch': 6.2}
{'loss': 0.0311, 'grad_norm': 0.14679700136184692, 'learning_rate': 1.3755952380952382e-05, 'epoch': 6.25}
{'loss': 0.0628, 'grad_norm': 12.937481880187988, 'learning_rate': 1.3706349206349208e-05, 'epoch': 6.3}
{'loss': 0.0689, 'grad_norm': 34.197566986083984, 'learning_rate': 1.3656746031746033e-05, 'epoch': 6.35}
{'loss': 0.0754, 'grad_norm': 0.029638314619660378, 'learning_rate': 1.3607142857142859e-05, 'epoch': 6.4}
{'loss': 0.0661, 'grad_norm': 0.05689220875501633, 'learning_rate': 1.3557539682539684e-05, 'epoch': 6.45}
{'loss': 0.081, 'grad_norm': 2.4745678901672363, 'learning_rate': 1.350793650793651e-05, 'epoch': 6.5}
{'loss': 0.0406, 'grad_norm': 0.014952233992516994, 'learning_rate': 1.3458333333333335e-05, 'epoch': 6.55}
{'loss': 0.0677, 'grad_norm': 61.576454162597656, 'learning_rate': 1.3408730158730159e-05, 'epoch': 6.6}
{'loss': 0.1247, 'grad_norm': 62.23102569580078, 'learning_rate': 1.3359126984126985e-05, 'epoch': 6.65}
{'loss': 0.0888, 'grad_norm': 46.85199737548828, 'learning_rate': 1.330952380952381e-05, 'epoch': 6.7}
{'loss': 0.0523, 'grad_norm': 0.04709804803133011, 'learning_rate': 1.3259920634920635e-05, 'epoch': 6.75}
{'loss': 0.095, 'grad_norm': 19.238576889038086, 'learning_rate': 1.3210317460317461e-05, 'epoch': 6.8}
{'loss': 0.0858, 'grad_norm': 0.056896910071372986, 'learning_rate': 1.3160714285714287e-05, 'epoch': 6.85}
{'loss': 0.0894, 'grad_norm': 91.5989761352539, 'learning_rate': 1.3111111111111113e-05, 'epoch': 6.89}
{'loss': 0.0995, 'grad_norm': 43.77949905395508, 'learning_rate': 1.3061507936507937e-05, 'epoch': 6.94}
{'loss': 0.0997, 'grad_norm': 2.5482282638549805, 'learning_rate': 1.3011904761904763e-05, 'epoch': 6.99}
{'eval_loss': 1.440792441368103, 'eval_accuracy': 0.7518610421836228, 'eval_runtime': 2.112, 'eval_samples_per_second': 1908.149, 'eval_steps_per_second': 119.319, 'epoch': 7.0}
{'loss': 0.0618, 'grad_norm': 6.675509929656982, 'learning_rate': 1.2962301587301589e-05, 'epoch': 7.04}
{'loss': 0.0739, 'grad_norm': 15.960314750671387, 'learning_rate': 1.2912698412698415e-05, 'epoch': 7.09}
{'loss': 0.0383, 'grad_norm': 0.021997934207320213, 'learning_rate': 1.286309523809524e-05, 'epoch': 7.14}
{'loss': 0.0617, 'grad_norm': 0.026330463588237762, 'learning_rate': 1.2814484126984129e-05, 'epoch': 7.19}
{'loss': 0.0441, 'grad_norm': 0.47380268573760986, 'learning_rate': 1.2764880952380953e-05, 'epoch': 7.24}
{'loss': 0.0407, 'grad_norm': 0.16293378174304962, 'learning_rate': 1.2715277777777779e-05, 'epoch': 7.29}
{'loss': 0.1121, 'grad_norm': 0.21929419040679932, 'learning_rate': 1.2665674603174605e-05, 'epoch': 7.34}
{'loss': 0.0649, 'grad_norm': 2.1448862552642822, 'learning_rate': 1.261607142857143e-05, 'epoch': 7.39}
{'loss': 0.0562, 'grad_norm': 0.14598025381565094, 'learning_rate': 1.2566468253968255e-05, 'epoch': 7.44}
{'loss': 0.0686, 'grad_norm': 75.06816101074219, 'learning_rate': 1.2516865079365081e-05, 'epoch': 7.49}
{'loss': 0.034, 'grad_norm': 68.3064956665039, 'learning_rate': 1.2467261904761905e-05, 'epoch': 7.54}
{'loss': 0.0932, 'grad_norm': 21.260812759399414, 'learning_rate': 1.2417658730158731e-05, 'epoch': 7.59}
{'loss': 0.0641, 'grad_norm': 0.2309289276599884, 'learning_rate': 1.2368055555555555e-05, 'epoch': 7.64}
{'loss': 0.0717, 'grad_norm': 6.986818313598633, 'learning_rate': 1.2318452380952381e-05, 'epoch': 7.69}
{'loss': 0.059, 'grad_norm': 0.016777286306023598, 'learning_rate': 1.2268849206349207e-05, 'epoch': 7.74}
{'loss': 0.075, 'grad_norm': 24.467205047607422, 'learning_rate': 1.2219246031746033e-05, 'epoch': 7.79}
{'loss': 0.0386, 'grad_norm': 0.06750980764627457, 'learning_rate': 1.2169642857142857e-05, 'epoch': 7.84}
{'loss': 0.0483, 'grad_norm': 0.012011238373816013, 'learning_rate': 1.2120039682539683e-05, 'epoch': 7.89}
{'loss': 0.0859, 'grad_norm': 0.08883485943078995, 'learning_rate': 1.207043650793651e-05, 'epoch': 7.94}
{'loss': 0.0678, 'grad_norm': 0.01513407938182354, 'learning_rate': 1.2020833333333335e-05, 'epoch': 7.99}
{'eval_loss': 1.641204595565796, 'eval_accuracy': 0.7518610421836228, 'eval_runtime': 2.114, 'eval_samples_per_second': 1906.378, 'eval_steps_per_second': 119.208, 'epoch': 8.0}
{'loss': 0.0676, 'grad_norm': 0.012194168753921986, 'learning_rate': 1.1971230158730161e-05, 'epoch': 8.04}
{'loss': 0.0609, 'grad_norm': 0.012230881489813328, 'learning_rate': 1.1921626984126985e-05, 'epoch': 8.09}
{'loss': 0.0576, 'grad_norm': 7.4141645431518555, 'learning_rate': 1.187202380952381e-05, 'epoch': 8.13}
{'loss': 0.0378, 'grad_norm': 100.43490600585938, 'learning_rate': 1.1822420634920636e-05, 'epoch': 8.18}
{'loss': 0.0142, 'grad_norm': 26.494714736938477, 'learning_rate': 1.177281746031746e-05, 'epoch': 8.23}
{'loss': 0.0551, 'grad_norm': 104.66395568847656, 'learning_rate': 1.1723214285714286e-05, 'epoch': 8.28}
{'loss': 0.0491, 'grad_norm': 102.61270904541016, 'learning_rate': 1.1673611111111112e-05, 'epoch': 8.33}
{'loss': 0.0615, 'grad_norm': 52.66849899291992, 'learning_rate': 1.1624007936507938e-05, 'epoch': 8.38}
{'loss': 0.0521, 'grad_norm': 49.30717849731445, 'learning_rate': 1.1574404761904764e-05, 'epoch': 8.43}
{'loss': 0.0488, 'grad_norm': 16.490468978881836, 'learning_rate': 1.1524801587301588e-05, 'epoch': 8.48}
{'loss': 0.0332, 'grad_norm': 0.6034480929374695, 'learning_rate': 1.1475198412698414e-05, 'epoch': 8.53}
{'loss': 0.0264, 'grad_norm': 0.6737266182899475, 'learning_rate': 1.142559523809524e-05, 'epoch': 8.58}
{'loss': 0.056, 'grad_norm': 0.016029799357056618, 'learning_rate': 1.1376984126984128e-05, 'epoch': 8.63}
{'loss': 0.0375, 'grad_norm': 0.15676066279411316, 'learning_rate': 1.1327380952380954e-05, 'epoch': 8.68}
{'loss': 0.0209, 'grad_norm': 0.2711458206176758, 'learning_rate': 1.1277777777777778e-05, 'epoch': 8.73}
{'loss': 0.049, 'grad_norm': 0.00848071463406086, 'learning_rate': 1.1228174603174604e-05, 'epoch': 8.78}
{'loss': 0.0607, 'grad_norm': 8.44615650177002, 'learning_rate': 1.117857142857143e-05, 'epoch': 8.83}
{'loss': 0.0581, 'grad_norm': 0.016787089407444, 'learning_rate': 1.1128968253968256e-05, 'epoch': 8.88}
{'loss': 0.0274, 'grad_norm': 0.040009964257478714, 'learning_rate': 1.1079365079365082e-05, 'epoch': 8.93}
{'loss': 0.0587, 'grad_norm': 1.8435721397399902, 'learning_rate': 1.1029761904761906e-05, 'epoch': 8.98}
{'eval_loss': 1.665614366531372, 'eval_accuracy': 0.758560794044665, 'eval_runtime': 2.1143, 'eval_samples_per_second': 1906.05, 'eval_steps_per_second': 119.187, 'epoch': 9.0}
{'loss': 0.0504, 'grad_norm': 0.04158341512084007, 'learning_rate': 1.0980158730158732e-05, 'epoch': 9.03}
{'loss': 0.031, 'grad_norm': 0.023480093106627464, 'learning_rate': 1.0930555555555556e-05, 'epoch': 9.08}
{'loss': 0.0343, 'grad_norm': 0.009155377745628357, 'learning_rate': 1.088095238095238e-05, 'epoch': 9.13}
{'loss': 0.0374, 'grad_norm': 0.2309962958097458, 'learning_rate': 1.0831349206349206e-05, 'epoch': 9.18}
{'loss': 0.0414, 'grad_norm': 0.009799540974199772, 'learning_rate': 1.0781746031746032e-05, 'epoch': 9.23}
{'loss': 0.0214, 'grad_norm': 0.009320707060396671, 'learning_rate': 1.0732142857142858e-05, 'epoch': 9.28}
{'loss': 0.0216, 'grad_norm': 0.0073701427318155766, 'learning_rate': 1.0682539682539684e-05, 'epoch': 9.33}
{'loss': 0.0179, 'grad_norm': 0.012226058170199394, 'learning_rate': 1.0632936507936508e-05, 'epoch': 9.38}
{'loss': 0.0266, 'grad_norm': 0.046975359320640564, 'learning_rate': 1.0583333333333334e-05, 'epoch': 9.42}
{'loss': 0.0575, 'grad_norm': 0.9376949667930603, 'learning_rate': 1.053373015873016e-05, 'epoch': 9.47}
{'loss': 0.0526, 'grad_norm': 1.5519002676010132, 'learning_rate': 1.0484126984126986e-05, 'epoch': 9.52}
{'loss': 0.0387, 'grad_norm': 1.0329477787017822, 'learning_rate': 1.043452380952381e-05, 'epoch': 9.57}
{'loss': 0.0381, 'grad_norm': 0.012642222456634045, 'learning_rate': 1.0384920634920636e-05, 'epoch': 9.62}
{'loss': 0.0372, 'grad_norm': 0.6266700625419617, 'learning_rate': 1.0335317460317462e-05, 'epoch': 9.67}
{'loss': 0.0116, 'grad_norm': 0.005659379530698061, 'learning_rate': 1.0285714285714285e-05, 'epoch': 9.72}
{'loss': 0.0225, 'grad_norm': 0.028824876993894577, 'learning_rate': 1.023611111111111e-05, 'epoch': 9.77}
{'loss': 0.0748, 'grad_norm': 0.00518887210637331, 'learning_rate': 1.0186507936507937e-05, 'epoch': 9.82}
{'loss': 0.0132, 'grad_norm': 0.0029318290762603283, 'learning_rate': 1.0136904761904763e-05, 'epoch': 9.87}
{'loss': 0.0658, 'grad_norm': 0.015216413885354996, 'learning_rate': 1.0087301587301589e-05, 'epoch': 9.92}
{'loss': 0.0525, 'grad_norm': 0.006340267136693001, 'learning_rate': 1.0037698412698413e-05, 'epoch': 9.97}
{'eval_loss': 1.7336034774780273, 'eval_accuracy': 0.7578163771712159, 'eval_runtime': 2.1084, 'eval_samples_per_second': 1911.384, 'eval_steps_per_second': 119.521, 'epoch': 10.0}
{'loss': 0.0505, 'grad_norm': 0.007022549398243427, 'learning_rate': 9.988095238095239e-06, 'epoch': 10.02}
{'loss': 0.0164, 'grad_norm': 0.020232640206813812, 'learning_rate': 9.938492063492065e-06, 'epoch': 10.07}
{'loss': 0.0134, 'grad_norm': 0.0106740677729249, 'learning_rate': 9.88888888888889e-06, 'epoch': 10.12}
{'loss': 0.0103, 'grad_norm': 0.06645432114601135, 'learning_rate': 9.839285714285715e-06, 'epoch': 10.17}
{'loss': 0.0266, 'grad_norm': 0.149348646402359, 'learning_rate': 9.78968253968254e-06, 'epoch': 10.22}
{'loss': 0.0297, 'grad_norm': 0.039483219385147095, 'learning_rate': 9.740079365079365e-06, 'epoch': 10.27}
{'loss': 0.0365, 'grad_norm': 0.3932208716869354, 'learning_rate': 9.690476190476191e-06, 'epoch': 10.32}
